name,description,price
"Салат с ростбифом и битыми огурцами","","5100"
"Салат с осьминогом и карамелизированными орехами","с апельсинами","4300"
"Салат с креветками","и сальсой Аля Верде","5100"
"Греческий салат","с маринованным луком","2800"
"Салат с куриным филе, авокадо и клубникой","","3500"
"Салат с маринованным лососем и креветками","","4900"
"Салат с утиным филе и грушей конференс","","4500"
"Салат с хрустящими баклажанами и жареным сыром","","3200"
