name,description,price
"Стейк Рибай","",10100
"Стейк Рибай из конины","",10100
"Стейк Пеппер","С кукурузой и соусом из пяти перцев",8200
"Стейк Нью-Йорк","С картофельным гратеном и соусом демиглас",8200
"Шашлык из утиного филе","",6300
"Шашлык из куриных крыльев","",2600
"Шашлык из лосося","",7000
"Шашлык из баранины","",3600
