name,description,price
"Жюльен из филе цыпленка","в лодочке из картофеля","2800"
"Хрустящие крылья","в пикантной заправке с соусом блю чиз","4200"
"Бараньи семечки с картофелем","","4800"
"Хрустящие креветки","с соусом Чанг","3500"
"Креветки темпура","с соусом васаби","3500"
