name,description,price
"Бариста","",1500
"Марс","",1500
"Ферреро Роше","",1500
"Черный лес","",1500
"Чизкейк Сникерс","",1500
"Фруктовое ассорти","",6400
"Мороженое в ассортименте","(3 шарика)",1900
"Тарелка восточных сладостей","Цукаты, сухофрукты",3200
