name,description,price
"Паста с лососем и креветками","В соусе Биск",3200
"Паста Альфредо","",2800
"Паста Карбонара","С говяжьим беконом",3100
"Паста Неополитано","",2100
"Удон с креветками","В кокосовых сливках, лапша на выбор: гречневая или яичная",3100
