name,description,price
"Брускетта с лососем","и пряной гуакамоле","3200"
"Брускетта с плавленой моцареллой и черри конфитюром","","3100"
"Брускетта с рваной говядиной","Нежнейший ростбиф с соусом вителло тоннато","2650"
"Сырное плато","","5100"
"Мясная гастрономия","","7000"
